"SEO 2008 Code","SEO 2008 Name"
"960309","Effects of Climate Change and Variability on the South Pacific (excl. Australia and New Zealand) (excl. Social Impacts)"
"960310","Global Effects of Climate Change and Variability (excl. Australia, New Zealand, Antarctica and the South Pacific) (excl. Social Impacts)"
"960311","Social Impacts of Climate Change and Variability"
"960399","Climate and Climate Change not elsewhere classified"
"960401","Border Biosecurity (incl. Quarantine and Inspection)"
"960402","Control of Animal Pests, Diseases and Exotic Species in Coastal and Estuarine Environments"
"960403","Control of Animal Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
"960404","Control of Animal Pests, Diseases and Exotic Species in Forest and Woodlands Environments"
"960405","Control of Pests, Diseases and Exotic Species at Regional or Larger Scales"
"960406","Control of Pests, Diseases and Exotic Species in Fresh, Ground and Surface Water Environments"
"960407","Control of Pests, Diseases and Exotic Species in Marine Environments"
"960408","Control of Pests, Diseases and Exotic Species in Mining Environments"
"960409","Control of Pests, Diseases and Exotic Species in Mountain and High Country Environments"
"960410","Control of Pests, Diseases and Exotic Species in Sparseland, Permanent Grassland and Arid Zone Environments"
"960411","Control of Pests, Diseases and Exotic Species in Urban and Industrial Environments"
"960412","Control of Plant Pests, Diseases and Exotic Species in Coastal and Estuarine Environments"
"960413","Control of Plant Pests, Diseases and Exotic Species in Farmland, Arable Cropland and Permanent Cropland Environments"
"960414","Control of Plant Pests, Diseases and Exotic Species in Forest and Woodlands Environments"
"960415","Pre-Border Biosecurity"
"960499","Control of Pests, Diseases and Exotic Species not elsewhere classified"
"960501","Ecosystem Assessment and Management at Regional or Larger Scales"
"960502","Ecosystem Assessment and Management of Antarctic and Sub-Antarctic Environments"
"960503","Ecosystem Assessment and Management of Coastal and Estuarine Environments"
"960504","Ecosystem Assessment and Management of Farmland, Arable Cropland and Permanent Cropland Environments"
"960505","Ecosystem Assessment and Management of Forest and Woodlands Environments"
"960506","Ecosystem Assessment and Management of Fresh, Ground and Surface Water Environments"
"960507","Ecosystem Assessment and Management of Marine Environments"
"960508","Ecosystem Assessment and Management of Mining Environments"
"960509","Ecosystem Assessment and Management of Mountain and High Country Environments"
"960510","Ecosystem Assessment and Management of Sparseland, Permanent Grassland and Arid Zone Environments"
"960511","Ecosystem Assessment and Management of Urban and Industrial Environments"
"960599","Ecosystem Assessment and Management not elsewhere classified"
"960601","Economic Incentives for Environmental Protection"
"960602","Eco-Verification (excl. Environmental Lifecycle Assessment)"
"960603","Environmental Lifecycle Assessment"
"960604","Environmental Management Systems"
"960605","Institutional Arrangements for Environmental Protection"
"960606","Rights to Environmental and Natural Resources (excl. Water Allocation)"
"960607","Rural Land Evaluation"
"960608","Rural Water Evaluation (incl. Water Quality)"
"960609","Sustainability Indicators"
"960610","Urban Land Evaluation"
"960611","Urban Water Evaluation (incl. Water Quality)"
"960699","Environmental and Natural Resource Evaluation not elsewhere classified"
"960701","Coastal and Marine Management Policy"
"960702","Consumption Patterns, Population Issues and the Environment"
"960703","Environmental Education and Awareness"
"960704","Land Stewardship"
"960705","Rural Land Policy"
"960706","Rural Water Policy"
"960707","Trade and Environment"
"960708","Urban Land Policy"
"960709","Urban Water Policy"
"960799","Environmental Policy, Legislation and Standards not elsewhere classified"
"960801","Antarctic and Sub-Antarctic Flora, Fauna and Biodiversity"
"960802","Coastal and Estuarine Flora, Fauna and Biodiversity"
"960803","Documentation of Undescribed Flora and Fauna"
"960804","Farmland, Arable Cropland and Permanent Cropland Flora, Fauna and Biodiversity"
"960805","Flora, Fauna and Biodiversity at Regional or Larger Scales"
"960806","Forest and Woodlands Flora, Fauna and Biodiversity"
"960807","Fresh, Ground and Surface Water Flora, Fauna and Biodiversity"
"960808","Marine Flora, Fauna and Biodiversity"
"960809","Mining Flora, Fauna and Biodiversity"
"960810","Mountain and High Country Flora, Fauna and Biodiversity"
"960811","Sparseland, Permanent Grassland and Arid Zone Flora, Fauna and Biodiversity"
"960812","Urban and Industrial Flora, Fauna and Biodiversity"
"960899","Flora, Fauna and Biodiversity of environments not elsewhere classified"
"960901","Antarctic and Sub-Antarctic Land and Water Management"
"960902","Coastal and Estuarine Land Management"
"960903","Coastal and Estuarine Water Management"
"960904","Farmland, Arable Cropland and Permanent Cropland Land Management"
"960905","Farmland, Arable Cropland and Permanent Cropland Water Management"
"960906","Forest and Woodlands Land Management"
"960907","Forest and Woodlands Water Management"
"960908","Mining Land and Water Management"
"960909","Mountain and High Country Land and Water Management"
"960910","Sparseland, Permanent Grassland and Arid Zone Land and Water Management"
"960911","Urban and Industrial Land Management"
"960912","Urban and Industrial Water Management"
"960913","Water Allocation and Quantification"
"960999","Land and Water Management of environments not elsewhere classified"
"961001","Natural Hazards in Antarctic and Sub-Antarctic Environments"
"961002","Natural Hazards in Coastal and Estuarine Environments"
"961003","Natural Hazards in Farmland, Arable Cropland and Permanent Cropland Environments"
"961004","Natural Hazards in Forest and Woodlands Environments"
"961005","Natural Hazards in Fresh, Ground and Surface Water Environments"
"961006","Natural Hazards in Marine Environments"
"961007","Natural Hazards in Mining Environments"
"961008","Natural Hazards in Mountain and High Country Environments"
"961009","Natural Hazards in Sparseland, Permanent Grassland and Arid Zone Environments"
"961010","Natural Hazards in Urban and Industrial Environments"
"961099","Natural Hazards not elsewhere classified"
"961101","Physical and Chemical Conditions of Water for Urban and Industrial Use"
"961102","Physical and Chemical Conditions of Water in Coastal and Estuarine Environments"
"961103","Physical and Chemical Conditions of Water in Fresh, Ground and Surface Water Environments (excl. Urban and Industrial Use)"
"961104","Physical and Chemical Conditions of Water in Marine Environments"
"961199","Physical and Chemical Conditions of Water not elsewhere classified"
"961201","Rehabilitation of Degraded Coastal and Estuarine Environments"
"961202","Rehabilitation of Degraded Farmland, Arable Cropland and Permanent Cropland Environments"
"961203","Rehabilitation of Degraded Forest and Woodlands Environments"
"961204","Rehabilitation of Degraded Fresh, Ground and Surface Water Environments"
"961205","Rehabilitation of Degraded Mining Environments"
"961206","Rehabilitation of Degraded Mountain and High Country Environments"
"961207","Rehabilitation of Degraded Sparseland, Permanent Grassland and Arid Zone Environments"
"961208","Rehabilitation of Degraded Urban and Industrial Environments"
"961299","Rehabilitation of Degraded Environments not elsewhere classified"
"961301","Protected Conservation Areas in Antarctic and Sub-Antarctic Environments"
"961302","Protected Conservation Areas in Fresh, Ground and Surface Water Environments"
"961303","Protected Conservation Areas in Marine Environments"
"961304","Remnant Vegetation and Protected Conservation Areas in Coastal and Estuarine Environments"
"961305","Remnant Vegetation and Protected Conservation Areas in Farmland, Arable Cropland and Permanent Cropland Environments"
"961306","Remnant Vegetation and Protected Conservation Areas in Forest and Woodlands Environments"
"961307","Remnant Vegetation and Protected Conservation Areas in Mountain and High Country Environments"
"961308","Remnant Vegetation and Protected Conservation Areas at Regional or Larger Scales"
"961309","Remnant Vegetation and Protected Conservation Areas in Sparseland, Permanent Grassland and Arid Zone Environments"
"961310","Remnant Vegetation and Protected Conservation Areas in Urban and Industrial Environments"
"961399","Remnant Vegetation and Protected Conservation Areas not elsewhere classified"
"961401","Coastal and Estuarine Soils"
"961402","Farmland, Arable Cropland and Permanent Cropland Soils"
"961403","Forest and Woodlands Soils"
"961404","Mining Soils"
"961405","Mountain and High Country Soils"
"961406","Sparseland, Permanent Grassland and Arid Zone Soils"
"961407","Urban and Industrial Soils"
"961499","Soils not elsewhere classified"
"969901","Antarctic and Sub-Antarctic Oceanography"
"969902","Marine Oceanic Processes (excl. climate related)"
"969999","Environment not elsewhere classified"
"970101","Expanding Knowledge in the Mathematical Sciences"
"970102","Expanding Knowledge in the Physical Sciences"
"970103","Expanding Knowledge in the Chemical Sciences"
"970104","Expanding Knowledge in the Earth Sciences"
"970105","Expanding Knowledge in the Environmental Sciences"
"970106","Expanding Knowledge in the Biological Sciences"
"970107","Expanding Knowledge in the Agricultural and Veterinary Sciences"
"970108","Expanding Knowledge in the Information and Computing Sciences"
"970109","Expanding Knowledge in Engineering"
"970110","Expanding Knowledge in Technology"
"970111","Expanding Knowledge in the Medical and Health Sciences"
"970112","Expanding Knowledge in Built Environment and Design"
"970113","Expanding Knowledge in Education"
"970114","Expanding Knowledge in Economics"
"970115","Expanding Knowledge in Commerce, Management, Tourism and Services"
"970116","Expanding Knowledge through Studies of Human Society"
"970117","Expanding Knowledge in Psychology and Cognitive Sciences"
"970118","Expanding Knowledge in Law and Legal Studies"
"970119","Expanding Knowledge through Studies of the Creative Arts and Writing"
"970120","Expanding Knowledge in Language, Communication and Culture"
"970121","Expanding Knowledge in History and Archaeology"
"970122","Expanding Knowledge in Philosophy and Religious Studies"
