"SEO 2008 Code","SEO 2008 Name"
"849999","Mineral Resources (excl. Energy Resources) not elsewhere classified"
"850101","Coal Exploration"
"850102","Geothermal Exploration"
"850103","Oil and Gas Exploration"
"850104","Oil Shale and Tar Sands Exploration"
"850105","Uranium Exploration"
"850199","Energy Exploration not elsewhere classified"
"850201","Coal Mining and Extraction"
"850202","Geothermal Energy Extraction"
"850203","Oil and Gas Extraction"
"850204","Oil Shale and Tar Sands Mining and Extraction"
"850205","Uranium Mining and Extraction"
"850299","Mining and Extraction of Energy Resources not elsewhere classified"
"850301","Hydrogen Production from Fossil Fuels"
"850302","Hydrogen Production from Nuclear Energy"
"850303","Hydrogen Production from Renewable Energy"
"850304","Oil and Gas Refining"
"850305","Preparation of Black Coal"
"850306","Preparation of Brown Coal (Lignite)"
"850307","Preparation of Oil Shale and Tar Sands"
"850308","Preparation of Uranium"
"850309","Production of Biofuels (Biomass)"
"850399","Preparation and Production of Energy Sources not elsewhere classified"
"850401","Fuel Cells (excl. Solid Oxide)"
"850402","Hydrogen-based Energy Systems (incl. Internal Hydrogen Combustion Engines)"
"850403","Nuclear Energy"
"850404","Solid Oxide Fuel Cells"
"850405","Transformation of Black Coal into Electricity"
"850406","Transformation of Brown Coal (Lignite) into Electricity"
"850407","Transformation of Coal into Gaseous Fuels"
"850408","Transformation of Coal into Liquid Fuels"
"850409","Transformation of Gas into Electricity"
"850410","Transformation of Gas into Liquid Fuels"
"850499","Energy Transformation not elsewhere classified"
"850501","Biofuel (Biomass) Energy"
"850502","Geothermal Energy"
"850503","Hydro-Electric Energy"
"850504","Solar-Photovoltaic Energy"
"850505","Solar-Thermal Electric Energy"
"850506","Solar-Thermal Energy"
"850507","Tidal Energy"
"850508","Wave Energy"
"850509","Wind Energy"
"850599","Renewable Energy not elsewhere classified"
"850601","Energy Services and Utilities"
"850602","Energy Storage (excl. Hydrogen)"
"850603","Energy Systems Analysis"
"850604","Energy Transmission and Distribution (excl. Hydrogen)"
"850605","Hydrogen Distribution"
"850606","Hydrogen Storage"
"850699","Energy Storage, Distribution and Supply not elsewhere classified"
"850701","Commercial Energy Conservation and Efficiency"
"850702","Energy Conservation and Efficiency in Transport"
"850703","Industrial Energy Conservation and Efficiency"
"850704","Residential Energy Conservation and Efficiency"
"850799","Energy Conservation and Efficiency not elsewhere classified"
"859801","Management of Gaseous Waste from Energy Activities (excl. Greenhouse Gases)"
"859802","Management of Greenhouse Gas Emissions from Electricity Generation"
"859803","Management of Greenhouse Gas Emissions from Energy Activities (excl. Electricity Generation)"
"859804","Management of Liquid Waste from Energy Activities (excl. Water)"
"859805","Management of Solid Waste from Energy Activities"
"859806","Management of Water Consumption by Energy Activities"
"859899","Environmentally Sustainable Energy Activities not elsewhere classified"
"859999","Energy not elsewhere classified"
"860101","Bakery Products"
"860102","Beverages (excl. Fruit Juices)"
"860103","Carcass Meat (incl. Fish and Seafood)"
"860104","Flour Mill and Cereal Food"
"860105","Nutraceuticals and Functional foods"
"860106","Oils and Fats (incl. Margarines)"
"860107","Processed Fish and Seafood Products"
"860108","Processed Fruit and Vegetable Products (incl. Fruit Juices)"
"860109","Processed Meat Products"
"860110","Soy Products"
"860111","Sugar and Confectionery Products"
"860199","Processed Food Products and Beverages (excl. Dairy Products) not elsewhere classified"
"860201","Butter and Milk-Derived Fats and Oils (excl. Cream)"
"860202","Casein"
"860203","Cheese"
"860204","Processed Milk and Cream (incl. Powder, Evaporated and Condensed)"
