Date: 01-10-09

Time: 13:10:54



Exp. Conditions:

Cyclic voltammetry

Start potential (V) = .0000

First vertex potential (V) = 1.5000

Second vertex potential (V) = -.2979

Step potential (V) = .00244

Scan rate (V/s) = .15001

Equilibration time (s) = 1

Number of Data Points =  1474 



 Potential	  Scan 1   	  Scan 2   	  Scan 3   	  Scan 4   	  Scan 5   	  Scan 6   	  Scan 7   	  Scan 8   	  Scan 9   	  Scan 10   	  Scan 11   	  Scan 12   	  Scan 13   	  Scan 14   	  Scan 15   	  Scan 16   	  Scan 17   	  Scan 18   	  Scan 19   	  Scan 20   	

 0.036621	-3.054504E-06	-2.362976E-06	-2.133789E-06	-1.943359E-06	-1.859131E-06	-1.775513E-06	-1.730652E-06	-1.594543E-06	-1.475830E-06	-1.438293E-06	-1.402283E-06	-1.350708E-06	-1.344299E-06	-1.306763E-06	-1.290894E-06	-1.250610E-06	-1.227112E-06	-1.201782E-06	-1.187134E-06	-1.168518E-06

 0.039063	-3.026428E-06	-2.344971E-06	-2.119141E-06	-1.929016E-06	-1.847229E-06	-1.766357E-06	-1.719971E-06	-1.583252E-06	-1.460571E-06	-1.426392E-06	-1.385803E-06	-1.343079E-06	-1.329651E-06	-1.297607E-06	-1.278992E-06	-1.240540E-06	-1.214905E-06	-1.189270E-06	-1.173401E-06	-1.156311E-06

 0.041504	-3.003845E-06	-2.328491E-06	-2.104187E-06	-1.920776E-06	-1.837769E-06	-1.756592E-06	-1.710205E-06	-1.572876E-06	-1.451416E-06	-1.410217E-06	-1.375427E-06	-1.334229E-06	-1.318054E-06	-1.287231E-06	-1.270142E-06	-1.229248E-06	-1.206665E-06	-1.180420E-06	-1.161499E-06	-1.142273E-06

 0.043945	-2.982178E-06	-2.317810E-06	-2.095337E-06	-1.907043E-06	-1.824036E-06	-1.740417E-06	-1.701355E-06	-1.563416E-06	-1.438904E-06	-1.397705E-06	-1.363525E-06	-1.318359E-06	-1.308289E-06	-1.273193E-06	-1.264343E-06	-1.221619E-06	-1.191711E-06	-1.173706E-06	-1.148987E-06	-1.133118E-06

 0.046387	-2.960815E-06	-2.303162E-06	-2.083130E-06	-1.893616E-06	-1.811523E-06	-1.726685E-06	-1.684570E-06	-1.549072E-06	-1.428528E-06	-1.387329E-06	-1.354370E-06	-1.307373E-06	-1.302185E-06	-1.258545E-06	-1.249695E-06	-1.208496E-06	-1.180420E-06	-1.160278E-06	-1.143799E-06	-1.124268E-06

 0.048828	-2.935486E-06	-2.290649E-06	-2.072449E-06	-1.878357E-06	-1.796265E-06	-1.710815E-06	-1.669922E-06	-1.534729E-06	-1.420288E-06	-1.378784E-06	-1.349487E-06	-1.294556E-06	-1.290894E-06	-1.249390E-06	-1.237793E-06	-1.195984E-06	-1.167297E-06	-1.150513E-06	-1.132507E-06	-1.119690E-06

 0.051270	-2.911682E-06	-2.272644E-06	-2.055054E-06	-1.864624E-06	-1.781921E-06	-1.704407E-06	-1.657715E-06	-1.521606E-06	-1.404724E-06	-1.370544E-06	-1.333923E-06	-1.288452E-06	-1.278687E-06	-1.240540E-06	-1.223450E-06	-1.184692E-06	-1.163940E-06	-1.134338E-06	-1.121826E-06	-1.104126E-06

 0.053711	-2.887878E-06	-2.255554E-06	-2.038269E-06	-1.853943E-06	-1.772461E-06	-1.690979E-06	-1.650085E-06	-1.511230E-06	-1.392822E-06	-1.356506E-06	-1.324158E-06	-1.278381E-06	-1.264648E-06	-1.232910E-06	-1.216125E-06	-1.175842E-06	-1.154785E-06	-1.129150E-06	-1.106873E-06	-1.092529E-06

 0.056152	-2.868958E-06	-2.240906E-06	-2.027893E-06	-1.843567E-06	-1.767273E-06	-1.682129E-06	-1.641846E-06	-1.504211E-06	-1.380310E-06	-1.343079E-06	-1.312256E-06	-1.267700E-06	-1.254578E-06	-1.218872E-06	-1.207275E-06	-1.170349E-06	-1.142578E-06	-1.119385E-06	-1.098328E-06	-1.080627E-06

 0.058594	-2.850037E-06	-2.229004E-06	-2.017517E-06	-1.832275E-06	-1.752319E-06	-1.665039E-06	-1.626282E-06	-1.489563E-06	-1.374207E-06	-1.330566E-06	-1.307373E-06	-1.253052E-06	-1.246948E-06	-1.208191E-06	-1.200562E-06	-1.158142E-06	-1.129456E-06	-1.111450E-06	-1.088867E-06	-1.072998E-06

 0.061035	-2.826538E-06	-2.217102E-06	-2.005005E-06	-1.816101E-06	-1.736755E-06	-1.653442E-06	-1.612244E-06	-1.477051E-06	-1.364441E-06	-1.326599E-06	-1.297302E-06	-1.239929E-06	-1.239014E-06	-1.192322E-06	-1.188660E-06	-1.146851E-06	-1.118469E-06	-1.099243E-06	-1.083679E-06	-1.066589E-06

 0.063477	-2.803955E-06	-2.199707E-06	-1.988831E-06	-1.802368E-06	-1.724548E-06	-1.641235E-06	-1.596680E-06	-1.463623E-06	-1.353760E-06	-1.316223E-06	-1.286926E-06	-1.232300E-06	-1.226501E-06	-1.187134E-06	-1.175842E-06	-1.132202E-06	-1.112061E-06	-1.085815E-06	-1.071777E-06	-1.055908E-06

 0.065918	-2.778931E-06	-2.183533E-06	-1.973877E-06	-1.791077E-06	-1.713867E-06	-1.632385E-06	-1.589355E-06	-1.453552E-06	-1.338501E-06	-1.304626E-06	-1.273804E-06	-1.222839E-06	-1.213074E-06	-1.179199E-06	-1.167908E-06	-1.124573E-06	-1.104736E-06	-1.078796E-06	-1.060181E-06	-1.044312E-06

 0.068359	-2.762451E-06	-2.166748E-06	-1.959534E-06	-1.783752E-06	-1.706543E-06	-1.624451E-06	-1.579895E-06	-1.445007E-06	-1.326904E-06	-1.290894E-06	-1.259155E-06	-1.216125E-06	-1.202393E-06	-1.170349E-06	-1.161804E-06	-1.116028E-06	-1.095886E-06	-1.069641E-06	-1.048889E-06	-1.032104E-06

 0.070801	-2.743530E-06	-2.157288E-06	-1.950684E-06	-1.771851E-06	-1.691284E-06	-1.608582E-06	-1.570740E-06	-1.434631E-06	-1.318359E-06	-1.280212E-06	-1.251831E-06	-1.201782E-06	-1.194763E-06	-1.158142E-06	-1.156921E-06	-1.108704E-06	-1.081848E-06	-1.065369E-06	-1.039734E-06	-1.026306E-06

